
2024/05/09 (23:44:31) | ===> btop++ v.1.3.2
2024/05/09 (23:44:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/09 (23:44:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/09 (23:44:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/09 (23:44:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/09 (23:46:13) | ===> btop++ v.1.3.2
2024/05/09 (23:46:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/09 (23:46:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/09 (23:46:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/09 (23:46:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/09 (23:46:33) | ===> btop++ v.1.3.2
2024/05/09 (23:46:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/09 (23:46:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/09 (23:46:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/09 (23:46:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/09 (23:56:38) | ===> btop++ v.1.3.2
2024/05/09 (23:56:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/09 (23:56:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/09 (23:56:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/09 (23:56:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/10 (22:23:53) | ===> btop++ v.1.3.2
2024/05/10 (22:23:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/10 (22:23:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/10 (22:23:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/10 (22:23:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/13 (15:10:33) | ===> btop++ v.1.3.2
2024/05/13 (15:10:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/13 (15:10:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/13 (15:10:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/13 (15:10:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/13 (17:09:07) | ===> btop++ v.1.3.2
2024/05/13 (17:09:07) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/13 (17:09:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/13 (17:09:07) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/13 (17:09:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/14 (16:34:13) | ===> btop++ v.1.3.2
2024/05/14 (16:34:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/14 (16:34:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/14 (16:34:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/14 (16:34:13) | WARNING: ROCm SMI: Failed to get PCIe throughput
